/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:16.920 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:34.942 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:35.143 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:35.335 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:30:35.502 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:00.487 [http-nio-8080-exec-10] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:00.664 [http-nio-8080-exec-1] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:00.854 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.008 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.157 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.343 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.503 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.672 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:01.839 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:02.022 [http-nio-8080-exec-9] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:12.178 [http-nio-8080-exec-10] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:12.370 [http-nio-8080-exec-1] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:12.544 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:12.725 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:12.914 [http-nio-8080-exec-4] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:23.885 [http-nio-8080-exec-5] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:24.072 [http-nio-8080-exec-6] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:24.261 [http-nio-8080-exec-7] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:24.430 [http-nio-8080-exec-8] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before adive: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-08 21:31:24.605 [http-nio-8080-exec-9] INFO  com
